,Country,economy,Year,Unemployment_Percentage
5375,Russian Federation,RUS,YR1980,
5376,Romania,ROU,YR1980,
5377,Qatar,QAT,YR1980,
5378,Puerto Rico,PRI,YR1980,
5379,Portugal,PRT,YR1980,
5380,Poland,POL,YR1980,
5381,Philippines,PHL,YR1980,
5382,Peru,PER,YR1980,
5383,Paraguay,PRY,YR1980,
5384,Papua New Guinea,PNG,YR1980,
5385,Panama,PAN,YR1980,
5386,Palau,PLW,YR1980,
5387,Pakistan,PAK,YR1980,
5388,Oman,OMN,YR1980,
5389,Norway,NOR,YR1980,
5390,Northern Mariana Islands,MNP,YR1980,
5391,North Macedonia,MKD,YR1980,
5392,Nigeria,NGA,YR1980,
5393,Niger,NER,YR1980,
5394,Nicaragua,NIC,YR1980,
5395,New Zealand,NZL,YR1980,
5396,New Caledonia,NCL,YR1980,
5397,Netherlands,NLD,YR1980,
5398,Nepal,NPL,YR1980,
5399,Nauru,NRU,YR1980,
5400,Namibia,NAM,YR1980,
5401,Myanmar,MMR,YR1980,
5402,Mozambique,MOZ,YR1980,
5403,Morocco,MAR,YR1980,
5404,Montenegro,MNE,YR1980,
5405,Mongolia,MNG,YR1980,
5406,Monaco,MCO,YR1980,
5407,Moldova,MDA,YR1980,
5408,"Micronesia, Fed. Sts.",FSM,YR1980,
5409,Mexico,MEX,YR1980,
5410,Mauritius,MUS,YR1980,
5411,Mauritania,MRT,YR1980,
5412,Marshall Islands,MHL,YR1980,
5413,Malta,MLT,YR1980,
5414,Mali,MLI,YR1980,
5415,Maldives,MDV,YR1980,
5416,Malaysia,MYS,YR1980,
5417,Malawi,MWI,YR1980,
5418,Madagascar,MDG,YR1980,
5419,"Macao SAR, China",MAC,YR1980,
5420,Luxembourg,LUX,YR1980,
5421,Lithuania,LTU,YR1980,
5422,Liechtenstein,LIE,YR1980,
5423,Libya,LBY,YR1980,
5424,Liberia,LBR,YR1980,
5425,Lesotho,LSO,YR1980,
5426,Lebanon,LBN,YR1980,
5427,Latvia,LVA,YR1980,
5428,Lao PDR,LAO,YR1980,
5429,Kyrgyz Republic,KGZ,YR1980,
5430,Kuwait,KWT,YR1980,
5431,Kosovo,XKX,YR1980,
5432,"Korea, Rep.",KOR,YR1980,
5433,"Korea, Dem. People's Rep.",PRK,YR1980,
5434,Kiribati,KIR,YR1980,
5435,Kenya,KEN,YR1980,
5436,Kazakhstan,KAZ,YR1980,
5437,Jordan,JOR,YR1980,
5438,Japan,JPN,YR1980,
5439,Jamaica,JAM,YR1980,
5440,Italy,ITA,YR1980,
5441,Israel,ISR,YR1980,
5442,Isle of Man,IMN,YR1980,
5443,Ireland,IRL,YR1980,
5444,Iraq,IRQ,YR1980,
5445,"Iran, Islamic Rep.",IRN,YR1980,
5446,Indonesia,IDN,YR1980,
5447,India,IND,YR1980,
5448,Iceland,ISL,YR1980,
5449,Hungary,HUN,YR1980,
5450,"Hong Kong SAR, China",HKG,YR1980,
5451,Honduras,HND,YR1980,
5452,Haiti,HTI,YR1980,
5453,Guyana,GUY,YR1980,
5454,Guinea-Bissau,GNB,YR1980,
5455,Guinea,GIN,YR1980,
5456,Guatemala,GTM,YR1980,
5457,Guam,GUM,YR1980,
5458,Grenada,GRD,YR1980,
5459,Greenland,GRL,YR1980,
5460,Greece,GRC,YR1980,
5461,Gibraltar,GIB,YR1980,
5462,Ghana,GHA,YR1980,
5463,Germany,DEU,YR1980,
5464,Georgia,GEO,YR1980,
5465,"Gambia, The",GMB,YR1980,
5466,Gabon,GAB,YR1980,
5467,French Polynesia,PYF,YR1980,
5468,France,FRA,YR1980,
5469,Finland,FIN,YR1980,
5470,Fiji,FJI,YR1980,
5471,Faroe Islands,FRO,YR1980,
5472,Ethiopia,ETH,YR1980,
5473,Eswatini,SWZ,YR1980,
5474,Estonia,EST,YR1980,
5475,Eritrea,ERI,YR1980,
5476,Equatorial Guinea,GNQ,YR1980,
5477,El Salvador,SLV,YR1980,
5478,"Egypt, Arab Rep.",EGY,YR1980,
5479,Ecuador,ECU,YR1980,
5480,Dominican Republic,DOM,YR1980,
5481,Dominica,DMA,YR1980,
5482,Djibouti,DJI,YR1980,
5483,Denmark,DNK,YR1980,
5484,Czechia,CZE,YR1980,
5485,Cyprus,CYP,YR1980,
5486,Curacao,CUW,YR1980,
5487,Cuba,CUB,YR1980,
5488,Croatia,HRV,YR1980,
5489,Cote d'Ivoire,CIV,YR1980,
5490,Costa Rica,CRI,YR1980,
5491,"Congo, Rep.",COG,YR1980,
5492,"Congo, Dem. Rep.",COD,YR1980,
5493,Comoros,COM,YR1980,
5494,Colombia,COL,YR1980,
5495,China,CHN,YR1980,
5496,Chile,CHL,YR1980,
5497,Channel Islands,CHI,YR1980,
5498,Chad,TCD,YR1980,
5499,Central African Republic,CAF,YR1980,
5500,Cayman Islands,CYM,YR1980,
5501,Canada,CAN,YR1980,
5502,Cameroon,CMR,YR1980,
5503,Cambodia,KHM,YR1980,
5504,Cabo Verde,CPV,YR1980,
5505,Burundi,BDI,YR1980,
5506,Burkina Faso,BFA,YR1980,
5507,Bulgaria,BGR,YR1980,
5508,Brunei Darussalam,BRN,YR1980,
5509,British Virgin Islands,VGB,YR1980,
5510,Brazil,BRA,YR1980,
5511,Botswana,BWA,YR1980,
5512,Bosnia and Herzegovina,BIH,YR1980,
5513,Bolivia,BOL,YR1980,
5514,Bhutan,BTN,YR1980,
5515,Bermuda,BMU,YR1980,
5516,Benin,BEN,YR1980,
5517,Belize,BLZ,YR1980,
5518,Belgium,BEL,YR1980,
5519,Belarus,BLR,YR1980,
5520,Barbados,BRB,YR1980,
5521,Bangladesh,BGD,YR1980,
5522,Bahrain,BHR,YR1980,
5523,"Bahamas, The",BHS,YR1980,
5524,Azerbaijan,AZE,YR1980,
5525,Austria,AUT,YR1980,
5526,Australia,AUS,YR1980,
5527,Aruba,ABW,YR1980,
5528,Armenia,ARM,YR1980,
5529,Argentina,ARG,YR1980,
5530,Antigua and Barbuda,ATG,YR1980,
5531,Angola,AGO,YR1980,
5532,Andorra,AND,YR1980,
5533,American Samoa,ASM,YR1980,
5534,Algeria,DZA,YR1980,
5535,Albania,ALB,YR1980,
5536,Afghanistan,AFG,YR1980,
5537,World,WLD,YR1980,
5538,Upper middle income,UMC,YR1980,
5539,Sub-Saharan Africa (IDA & IBRD countries),TSS,YR1980,
5540,Sub-Saharan Africa (excluding high income),SSA,YR1980,
5541,Sub-Saharan Africa,SSF,YR1980,
5542,South Asia (IDA & IBRD),TSA,YR1980,
5543,South Asia,SAS,YR1980,
