,Country,economy,Year,central_government_debt
10770,"Hong Kong SAR, China",HKG,YR2000,
10771,Honduras,HND,YR2000,
10772,Haiti,HTI,YR2000,
10773,Guyana,GUY,YR2000,
10774,Guinea-Bissau,GNB,YR2000,
10775,Guinea,GIN,YR2000,
10776,Guatemala,GTM,YR2000,16.9838230125753
10777,Guam,GUM,YR2000,
10778,Grenada,GRD,YR2000,
10779,Greenland,GRL,YR2000,
10780,Greece,GRC,YR2000,119.431457212669
10781,Gibraltar,GIB,YR2000,
10782,Ghana,GHA,YR2000,
10783,Germany,DEU,YR2000,42.2408716555481
10784,Georgia,GEO,YR2000,58.5196339627013
10785,"Gambia, The",GMB,YR2000,
10786,Gabon,GAB,YR2000,
10787,French Polynesia,PYF,YR2000,
10788,France,FRA,YR2000,58.2992523257033
10789,Finland,FIN,YR2000,56.1887102211929
10790,Fiji,FJI,YR2000,
10791,Faroe Islands,FRO,YR2000,
10792,Ethiopia,ETH,YR2000,
10793,Eswatini,SWZ,YR2000,
10794,Estonia,EST,YR2000,4.06698700265488
10795,Eritrea,ERI,YR2000,
10796,Equatorial Guinea,GNQ,YR2000,
10797,El Salvador,SLV,YR2000,
10798,"Egypt, Arab Rep.",EGY,YR2000,
10799,Ecuador,ECU,YR2000,
10800,Dominican Republic,DOM,YR2000,
10801,Dominica,DMA,YR2000,
10802,Djibouti,DJI,YR2000,
10803,Denmark,DNK,YR2000,52.6028297965529
10804,Czechia,CZE,YR2000,20.0083476896554
10805,Cyprus,CYP,YR2000,145.752398480389
10806,Curacao,CUW,YR2000,
10807,Cuba,CUB,YR2000,
10808,Croatia,HRV,YR2000,34.2502947863541
10809,Cote d'Ivoire,CIV,YR2000,
10810,Costa Rica,CRI,YR2000,38.5018488682379
10811,"Congo, Rep.",COG,YR2000,
10812,"Congo, Dem. Rep.",COD,YR2000,
10813,Comoros,COM,YR2000,
10814,Colombia,COL,YR2000,
10815,China,CHN,YR2000,
10816,Chile,CHL,YR2000,13.1456400045595
10817,Channel Islands,CHI,YR2000,
10818,Chad,TCD,YR2000,
10819,Central African Republic,CAF,YR2000,
10820,Cayman Islands,CYM,YR2000,
10821,Canada,CAN,YR2000,58.7291139835615
10822,Cameroon,CMR,YR2000,
10823,Cambodia,KHM,YR2000,
10824,Cabo Verde,CPV,YR2000,
10825,Burundi,BDI,YR2000,
10826,Burkina Faso,BFA,YR2000,
10827,Bulgaria,BGR,YR2000,61.5724582647108
10828,Brunei Darussalam,BRN,YR2000,
10829,British Virgin Islands,VGB,YR2000,
10830,Brazil,BRA,YR2000,
